No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#172,Pichu,Electric,,3,1,3,2,4,1,2,1,3,1,3,Static,,Lightning Rod,,Yes,,Starter,
#173,Cleffa,Fairy,,3,1,3,1,2,1,3,2,4,2,4,Cute Charm,Magic Guard,Friend Guard,,Yes,,Starter,
#174,Igglybuff,Normal,Fairy,3,1,3,1,2,1,2,1,3,1,3,Cute Charm,Competitive,Friend Guard,,Yes,,Starter,
#175,Togepi,Fairy,,3,1,3,1,3,2,4,1,3,2,4,Hustle,Serene Grace,Super Luck,,Yes,,Starter,
#176,Togetic,Fairy,Flying,4,1,3,1,3,2,5,2,5,3,6,Hustle,Serene Grace,Super Luck,,Yes,,Amateur,
#177,Natu,Psychic,Flying,3,2,4,2,5,2,4,2,5,2,4,Synchronize,Early Bird,Magic Bounce,,Yes,,Beginner,
#178,Xatu,Psychic,Flying,4,2,5,3,6,2,5,3,6,2,5,Synchronize,Early Bird,Magic Bounce,,,,Amateur,
#179,Mareep,Electric,,3,1,3,1,3,1,3,2,4,2,4,Static,,Plus,,Yes,,Beginner,
#180,Flaaffy,Electric,,4,2,4,2,4,2,4,2,5,2,4,Static,,Plus,,Yes,,Amateur,
#181,Ampharos,Electric,,5,2,5,2,4,2,5,3,6,2,5,Static,,Plus,,,Yes,Ace,
#181,Mega-Ampharos,Electric,Dragon,6,3,6,2,4,3,6,4,8,3,6,Mold Breaker,,,,,,Pro,
#182,Bellossom,Grass,,5,2,5,2,4,2,5,2,5,3,6,Chlorophyll,,Healer,,,,Amateur,
#183,Marill,Water,Fairy,4,1,3,1,3,2,4,1,3,2,4,Thick Fat,Huge Power,Sap Sipper,,Yes,,Beginner,
#184,Azumarill,Water,Fairy,5,2,4,2,4,2,5,2,4,2,5,Thick Fat,Huge Power,Sap Sipper,,,,Amateur,
#185,Sudowoodo,Rock,,4,3,6,1,3,3,6,1,3,2,4,Sturdy,Rock Head,Rattled,,,Yes,Amateur,
#186,Politoed,Water,,5,2,5,2,4,2,5,2,5,3,6,Water Absorb,Damp,Drizzle,,,Yes,Amateur,
#187,Hoppip,Grass,Flying,3,1,3,2,4,1,3,1,3,2,4,Chlorophyll,Leaf Guard,Infiltrator,,Yes,,Starter,
#188,Skiploom,Grass,Flying,4,2,4,2,5,2,4,2,4,2,4,Chlorophyll,Leaf Guard,Infiltrator,,Yes,,Beginner,
#189,Jumpluff,Grass,Flying,5,2,4,3,6,2,5,2,4,2,5,Chlorophyll,Leaf Guard,Infiltrator,,,,Amateur,
#190,Aipom,Normal,,3,2,5,2,5,2,4,1,3,2,4,Run Away,Pickup,Skill Link,,Yes,,Beginner,
#191,Sunkern,Grass,,3,1,3,1,3,1,3,1,3,1,3,Chlorophyll,Solar Power,Early Bird,,Yes,,Starter,
#192,Sunflora,Grass,,4,2,5,1,3,2,4,3,6,2,5,Chlorophyll,Solar Power,Early Bird,,,Yes,Beginner,
#193,Yanma,Bug,Flying,3,2,4,3,6,2,4,2,5,2,4,Speed Boost,Compound Eyes,Frisk,,Yes,,Amateur,
#194,Wooper,Water,Ground,3,2,4,1,2,2,4,1,3,1,3,Damp,Water Absorb,Unaware,,Yes,,Beginner,
#195,Quagsire,Water,Ground,4,2,5,1,3,3,6,2,4,2,4,Damp,Water Absorb,Unaware,,,,Amateur,
#196,Espeon,Psychic,,4,2,4,3,6,2,4,3,7,3,6,Synchronize,,Magic Bounce,,,,Amateur,
#197,Umbreon,Dark,,4,2,4,2,4,3,6,2,4,3,7,Synchronize,,Inner Focus,,,,Amateur,
#198,Murkrow,Dark,Flying,3,2,5,1,3,2,5,2,5,1,3,Insomnia,Super Luck,Prankster,,Yes,,Beginner,
#199,Slowking,Water,Psychic,4,2,5,1,3,2,5,3,6,3,6,Oblivious,Own Tempo,Regenerator,,,,Ace,
#200,Misdreavus,Ghost,,3,2,4,2,5,2,4,2,5,2,5,Levitate,,,,Yes,,Amateur,
#201,Unown,Psychic,,4,2,5,2,4,2,4,2,5,2,4,Levitate,,,,,,Starter,N
#202,Wobbuffet,Psychic,,9,1,3,1,3,3,6,1,3,3,6,Shadow Tag,,Telepathy,,,,Amateur,
#203,Girafarig,Normal,Psychic,4,2,5,2,5,2,4,2,5,2,4,Inner Focus,Early Bird,Sap Sipper,,,Yes,Amateur,
#204,Pineco,Bug,,3,2,4,1,2,2,5,1,3,1,3,Sturdy,,Overcoat,,Yes,,Beginner,
#205,Forretress,Bug,Steel,4,2,5,1,3,3,7,2,4,2,4,Sturdy,,Overcoat,,,,Amateur,
#206,Dunsparce,Normal,,5,2,5,2,4,2,5,2,4,2,4,Serene Grace,Run Away,Rattled,,,,Amateur,
#207,Gligar,Ground,Flying,3,2,5,2,5,3,6,1,3,2,4,Hyper Cutter,Sand Veil,Immunity,,Yes,,Beginner,
#208,Steelix,Steel,Ground,9,2,5,1,3,5,10,2,4,2,4,Rock Head,Sturdy,Sheer Force,,,Yes,Pro,
#208,Mega-Steelix,Steel,Ground,10,3,7,1,2,5,11,2,4,3,6,Sand Force,,,,,,Master,
#209,Snubbull,Fairy,,3,2,5,1,3,2,4,1,3,1,3,Intimidate,Run Away,Rattled,,Yes,,Starter,
#210,Granbull,Fairy,,4,3,7,2,4,2,5,2,4,2,4,Intimidate,Quick Feet,Rattled,,,,Beginner,
#211,Qwilfish,Water,Poison,4,3,6,2,5,2,5,2,4,2,4,Poison Point,Swift Swim,Intimidate,,,,Amateur,
#212,Scizor,Bug,Steel,4,3,7,2,4,3,6,2,4,2,4,Swarm,Technician,Light Metal,,,Yes,Ace,
#212,Mega-Scizor,Bug,Steel,5,4,8,2,5,3,7,2,4,3,6,Technician,,,,,,Pro,
#213,Shuckle,Bug,Rock,4,1,2,1,2,5,10,1,2,5,10,Sturdy,Gluttony,Contrary,,,,Amateur,
#214,Heracross,Bug,Fighting,4,3,6,2,5,2,5,1,3,3,6,Swarm,Guts,Moxie,,,Yes,Amateur,
#214,Mega-Heracross,Bug,Fighting,5,4,9,2,5,3,6,1,2,3,6,Skill Link,,,,,,Ace,
#215,Sneasel,Dark,Ice,3,3,6,3,6,2,4,1,3,2,5,Inner Focus,Keen Eye,Pickpocket,,Yes,,Amateur,
#216,Teddiursa,Normal,,3,2,5,1,3,2,4,2,4,2,4,Pickup,Quick Feet,Honey Gather,,Yes,,Beginner,
#217,Ursaring,Normal,,4,3,7,2,4,2,5,2,5,2,5,Guts,Quick Feet,Unnerve,,,,Ace,
#218,Slugma,Fire,,3,1,3,1,3,1,3,2,4,1,3,Magma Armor,Flame Body,Weak Armor,,Yes,,Beginner,
#219,Magcargo,Fire,Rock,4,2,4,1,3,3,7,2,5,2,5,Magma Armor,Flame Body,Weak Armor,,,Yes,Amateur,
#220,Swinub,Ice,Ground,3,2,4,2,4,1,3,1,3,1,3,Oblivious,Snow Cloak,Thick Fat,,Yes,,Beginner,
#221,Piloswine,Ice,Ground,4,3,6,2,4,2,5,2,4,2,4,Oblivious,Snow Cloak,Thick Fat,,Yes,,Amateur,
#222,Corsola,Water,Rock,4,2,4,1,3,3,6,2,4,3,6,Hustle,Natural Cure,Regenerator,,,,Amateur,
#222G,Galarian Cursola,Ghost,,3,2,4,1,3,3,6,2,4,3,6,Weak Armor,,Cursed Body,,Yes,,Amateur,
#223,Remoraid,Water,,3,2,4,2,4,1,3,2,4,1,3,Hustle,Sniper,Moody,,Yes,,Beginner,
#224,Octillery,Water,,4,3,6,2,4,2,5,3,6,2,5,Suction Cups,Sniper,Moody,,,,Amateur,
#225,Delibird,Ice,Flying,4,2,4,2,5,2,4,2,4,2,4,Vital Spirit,Hustle,Insomnia,,,,Amateur,
#226,Mantine,Water,Flying,4,1,3,2,5,2,5,2,5,3,7,Swift Swim,Water Absorb,Water Veil,,,,Amateur,
#227,Skarmory,Steel,Flying,4,2,5,2,5,3,7,1,3,2,5,Keen Eye,Sturdy,Weak Armor,,,,Ace,
#228,Houndour,Dark,Fire,3,2,4,2,4,1,3,2,5,2,4,Early Bird,Flash Fire,Unnerve,,Yes,,Beginner,
#229,Houndoom,Dark,Fire,4,2,5,3,6,2,4,3,6,2,5,Early Bird,Flash Fire,Unnerve,,,Yes,Amateur,
#229,Mega-Houndoom,Dark,Fire,5,2,5,3,6,2,5,4,8,2,5,Solar Power,,,,,,Ace,
#230,Kingdra,Water,Dragon,5,3,6,2,5,3,6,3,6,3,6,Swift Swim,Sniper,Damp,,,,Ace,
#231,Phanpy,Ground,,3,2,4,1,3,2,4,1,3,1,3,Pickup,,Sand Veil,,Yes,,Beginner,
#232,Donphan,Ground,,4,3,7,2,4,3,6,2,4,2,4,Pickup,,Sand Veil,,,,Amateur,
#233,Porygon2,Normal,,4,2,5,2,4,2,5,3,6,3,6,Trace,Download,Analytic,,Yes,,Ace,N
#234,Stantler,Normal,,5,3,6,2,5,2,4,1,5,2,4,Intimidate,Frisk,Sap Sipper,,,,Amateur,
#235,Smeargle,Normal,,4,1,3,3,6,2,4,1,3,3,6,Own Tempo,Technician,Moody,,,,Amateur,
#236,Tyrogue,Fighting,,3,1,3,1,3,1,3,1,3,1,3,Guts,Steadfast,Vital Spirit,,Yes,,Beginner,M
#237,Hitmontop,Fighting,,4,3,6,2,5,3,6,1,3,3,6,Intimidate,Technician,Steadfast,,,,Ace,
#238,Smoochum,Ice,Psychic,3,1,3,2,4,1,2,2,5,2,4,Oblivious,Forewarn,Hydration,,Yes,,Starter,F
#239,Elekid,Electric,,3,2,4,2,5,1,3,2,4,2,4,Staitc,,Vital Spirit,,Yes,,Beginner,
#240,Magby,Fire,,3,2,4,2,4,1,3,1,3,1,3,Flame Body,,Vital Spirit,,Yes,,Beginner,
#241,Miltank,Normal,,4,2,5,3,6,3,6,1,3,2,5,Thick Fat,Scrappy,Sap Sipper,,,Yes,Amateur,F
#242,Blissey,Normal,,12,1,2,2,4,1,2,2,5,3,7,Natural Cure,Serene Grace,Healer,,,,Ace,F
#243,Raikou,Electric,,4,5,5,7,7,5,5,6,6,6,6,Pressure,,Inner Focus,,,,Master,N
#244,Entei,Fire,,5,7,7,6,6,5,5,5,5,5,5,Pressure,,Inner Focus,,,,Master,N
#245,Suicune,Water,,5,5,5,5,5,6,6,5,5,6,6,Pressure,,Inner Focus,,,,Master,N
#246,Larvitar,Rock,Ground,3,2,4,1,3,2,4,2,4,2,4,Guts,,Sand Veil,,Yes,,Amateur,
#247,Pupitar,Rock,Ground,4,2,5,2,4,2,5,2,4,2,5,Shed Skin,,,,Yes,,Ace,
#248,Tyranitar,Rock,Dark,6,3,7,2,5,3,6,3,6,3,6,Sand Stream,,Unnverve,,,Yes,Pro,
#248,Mega-Tyranitar,Rock,Dark,7,4,8,2,5,4,8,3,6,3,7,Sand Stream,,,,,,Master,
#249,Lugia,Flying,Psychic,6,5,5,6,6,7,7,5,5,7,7,Pressure,,Multiscale,,,,Master,N
#250,Ho-oh,Fire,Flying,5,7,7,5,5,5,5,6,6,7,7,Pressure,,Regenerator,,,,Master,N
#251,Celebi,Grass,Psychic,5,6,6,6,6,6,6,6,6,6,6,Natural Cure,,,,,,Master,N
#252,Treecko,Grass,,3,2,4,2,5,1,3,2,4,2,4,Overgrow,,Unburden,,Yes,,Beginner,
#253,Grovyle,Grass,,4,2,4,3,6,2,4,2,5,2,4,Overgrow,,Unburden,,Yes,,Amateur,
#254,Sceptile,Grass,,5,2,5,3,7,2,4,3,6,2,5,Overgrow,,Unburden,,,Yes,Ace,
#254,Mega-Sceptile,Grass,Dragon,6,3,6,4,8,2,5,4,8,2,5,Lightning Rod,,,,,,Pro,
#255,Torchic,Fire,,3,2,4,2,4,1,3,2,5,2,4,Blaze,,Speed Boost,,Yes,,Starter,
#256,Combusken,Fire,Fighting,4,2,5,2,4,2,4,2,5,2,4,Blaze,,Speed Boost,,Yes,,Amateur,
#257,Blaziken,Fire,Fighting,5,3,7,2,5,2,5,3,6,2,5,Blaze,,Speed Boost,,,Yes,Ace,
#257,Mega-Blaziken,Fire,Fighting,6,4,8,3,6,2,5,3,7,2,5,Speed Boost,,,,,,Pro,
#258,Mudkip,Water,,3,2,5,1,3,2,4,2,4,2,4,Torrent,,Damp,,Yes,,Starter,
#259,Marshtomp,Water,Ground,4,2,5,2,4,2,5,2,4,2,5,Torrent,,Damp,,Yes,,Amateur,
#260,Swampert,Water,Ground,6,3,6,2,4,2,5,2,5,2,5,Torrent,,Damp,,,Yes,Ace,
#260,Mega-Swampert,Water,Ground,7,4,8,2,5,3,6,3,6,3,6,Swift Swim,,,,,,Pro,
#261,Poochyena,Dark,,3,2,4,2,4,1,3,1,3,1,3,Run Away,Quick Feet,Rattled,,Yes,,Beginner,
#262,Mightyena,Dark,,4,3,6,2,5,2,5,2,4,2,4,Intimidate,Quick Feet,Moxie,,,,Amateur,
#263,Zigzagoon,Normal,,3,1,3,2,4,1,3,1,3,1,3,Pickup,Gluttony,Quick Feet,,Yes,,Beginner,
#263G,Galarian Zigzagoon,Dark,Normal,3,1,3,2,4,1,3,1,3,1,3,Pickup,Gluttony,Quick Feet,,,,Beginner,
#264,Linoone,Normal,,4,2,5,3,6,2,4,2,4,2,4,Pickup,Gluttony,Quick Feet,,,,Amateur,
#264G,Galarian Linoone,Dark,Normal,4,2,5,3,6,2,4,2,4,2,4,Pickup,Gluttony,Quick Feet,,Yes,,Amateur,
#265,Wurmple,Bug,,3,2,4,1,3,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,
#266,Silcoon,Bug,,4,2,4,1,2,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,
#267,Beautifly,Bug,Flying,5,2,5,2,4,2,4,3,6,2,4,Swarm,,Rivalry,,,,Amateur,
#268,Cascoon,Bug,,4,2,4,1,2,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,
#269,Dustox,Bug,Poison,5,2,4,2,4,3,6,2,4,2,5,Shield Dust,,Compound Eyes,,,,Amateur,
#270,Lotad,Water,Grass,3,1,3,1,3,1,3,1,3,2,4,Swift Swim,Rain Dish,Own Tempo,,Yes,,Starter,
#271,Lombre,Water,Grass,4,2,4,2,4,2,4,2,4,2,5,Swift Swim,Rain Dish,Own Tempo,,Yes,,Beginner,
#272,Ludicolo,Water,Grass,5,2,5,2,5,2,5,2,5,3,6,Swift Swim,Rain Dish,Own Tempo,,,,Amateur,
#273,Seedot,Grass,,3,1,3,1,3,2,4,1,3,1,3,Chlorophyll,Early Bird,Pickpocket,,Yes,,Starter,
#274,Nuzleaf,Grass,Dark,4,2,5,2,4,2,4,2,4,1,3,Chlorophyll,Early Bird,Pickpocket,,Yes,,Beginner,
#275,Shiftry,Grass,Dark,5,3,6,2,5,2,4,2,5,2,4,Chlorophyll,Early Bird,Pickpocket,,,Yes,Amateur,
#276,Taillow,Normal,Flying,3,2,4,2,5,1,3,1,3,1,3,Guts,,Scrappy,,Yes,,Beginner,
#277,Swellow,Normal,Flying,4,2,5,3,7,2,4,2,5,2,4,Guts,,Scrappy,,,,Amateur,
#278,Wingull,Water,Flying,3,1,3,2,5,1,3,2,4,1,3,Keen Eye,Hydration,Rain Dish,,Yes,,Beginner,
#279,Pelipper,Water,Flying,4,2,4,2,4,3,6,2,5,2,5,Keen Eye,Drizzle,Rain Dish,,,,Amateur,
#280,Ralts,Psychic,Fairy,3,1,3,1,3,1,3,2,4,1,3,Synchronize,Trace,Telepathy,,Yes,,Beginner,
#281,Kirlia,Psychic,Fairy,4,1,3,2,4,1,3,2,4,2,4,Synchronize,Trace,Telepathy,,Yes,,Amateur,
#282,Gardevoir,Psychic,Fairy,5,2,4,2,5,2,4,3,7,3,6,Synchronize,Trace,Telepathy,,,Yes,Ace,
#282,Mega-Gardevoir,Psychic,Fairy,6,2,5,3,6,2,4,4,8,3,7,Pixilate,,,,,,Pro,
#283,Surskit,Bug,Water,3,1,3,2,4,1,3,2,4,2,4,Swift Swim,,Rain Dish,,Yes,,Beginner,
#284,Masquerain,Bug,Flying,4,2,4,2,5,2,4,3,6,2,5,Intimidate,,Unnerve,,,,Amateur,
#285,Shroomish,Grass,,3,2,4,1,3,2,4,1,3,2,4,Effect Spore,Poison Heal,Quick Feet,,Yes,,Beginner,
#286,Breloom,Grass,Fighting,4,3,7,2,5,2,5,2,4,2,4,Effect Spore,Poison Heal,Technician,,,,Amateur,
#287,Slakoth,Normal,,3,2,4,1,3,2,4,1,3,1,3,Truant,,,,Yes,,Starter,
#288,Vigoroth,Normal,,4,2,5,2,5,2,5,2,4,2,4,Vital Spirit,,,,Yes,,Amateur,
#289,Slaking,Normal,,8,4,8,3,6,3,6,2,5,2,4,Truant,,,,,,Ace,
#290,Nincada,Bug,Ground,3,2,4,1,3,2,5,1,3,1,3,Compound Eyes,,Run Away,,Yes,,Beginner,
#291,Ninjask,Bug,Flying,4,2,5,4,8,2,4,2,4,2,4,Speed Boost,,Infiltrator,,,,Amateur,
#292,Shedinja,Bug,Ghost,1,2,5,1,3,2,4,1,3,1,3,Wonder Guard,,,,,,Ace,N
#293,Whismur,Normal,,3,2,4,1,3,1,3,2,5,1,3,Soundproof,Amplifier,Rattled,,Yes,,Starter,
#294,Loudred,Normal,,4,2,5,2,4,1,3,2,5,1,3,Soundproof,Amplifier,Scrappy,,Yes,,Amateur,
#295,Exploud,Normal,,6,2,5,2,4,1,4,2,5,2,5,Soundproof,Amplifier,Scrappy,,,,Ace,
#296,Makuhita,Fighting,,3,2,4,1,3,1,3,1,3,1,3,Thick Fat,Guts,Sheer Force,,Yes,,Beginner,
#297,Hariyama,Fighting,,7,3,7,2,4,2,4,1,3,2,4,Thick Fat,Guts,Sheer Force,,,,Amateur,
#298,Azurill,Normal,Fairy,3,1,3,1,3,1,3,1,3,1,3,Thick Fat,Huge Power,Sap Sipper,,Yes,,Starter,
#299,Nosepass,Rock,,3,2,4,1,3,3,7,2,4,2,5,Sturdy,Magnet Pull,Sand Force,,Yes,,Beginner,
#300,Skitty,Normal,,3,2,4,2,5,2,4,1,3,1,3,Cute Charm,Normalize,Wonder Skin,,Yes,,Starter,
#301,Delcatty,Normal,,4,2,4,2,5,2,4,2,4,2,4,Cute Charm,Normalize,Wonder Skin,,,,Beginner,
#302,Sableye,Dark,Ghost,4,2,5,2,4,2,5,2,4,2,4,Keen Eye,Stall,Prankster,,,Yes,Amateur,
#302,Mega-Sableye,Dark,Ghost,5,2,5,1,2,3,7,3,6,3,7,Magic Bounce,,,,,,Ace,
#303,Mawile,Steel,Fairy,4,2,5,2,4,2,5,2,4,2,4,Hyper Cutter,Intimidate,Sheer Force,,,Yes,Amateur,
#303,Mega-Mawile,Steel,Fairy,5,3,6,2,4,3,7,2,4,3,6,Huge Power,,,,,,Ace,
#304,Aron,Steel,Rock,3,2,5,1,3,3,6,1,3,1,3,Sturdy,Rock Head,Heavy Metal,,Yes,,Beginner,
#305,Lairon,Steel,Rock,4,2,5,1,3,3,7,2,4,2,4,Sturdy,Rock Head,Heavy Metal,,Yes,,Amateur,
#306,Aggron,Steel,Rock,5,3,6,2,4,4,9,2,4,2,4,Sturdy,Rock Head,Heavy Metal,,,Yes,Pro,
#306,Mega-Aggron,Steel,,6,3,7,2,4,5,11,2,4,2,5,Filter,,,,,,Master,
#307,Meditite,Fighting,Psychic,3,1,3,2,4,2,4,1,3,2,4,Pure Power,,Telepathy,,Yes,,Beginner,
#308,Medicham,Fighting,Psychic,4,2,4,2,5,2,5,2,4,2,5,Pure Power,,Telepathy,,,Yes,Amateur,
#308,Mega-Medicham,Fighting,Psychic,5,3,6,3,6,3,6,2,5,3,6,Pure Power,,,,,,Ace,
#309,Electrike,Electric,,3,2,4,2,4,1,3,2,4,1,3,Static,Lightning Rod,Minus,,Yes,,Beginner,
#310,Manectric,Electric,,4,2,5,3,6,2,4,3,6,2,4,Static,Lightning Rod,Minus,,,Yes,Amateur,
#310,Mega-Manectric,Electric,,5,2,5,3,7,2,5,3,7,2,5,Intimidate,,,,,,Ace,
#311,Plusle,Electric,,4,2,4,3,6,1,3,2,5,2,5,Plus,,Lightning Rod,,,,Starter,
#312,Minun,Electric,,4,1,3,3,6,2,4,2,5,2,5,Minus,,Volt Absorb,,,,Starter,
#313,Volbeat,Bug,,4,2,5,2,5,2,5,2,4,2,5,Illuminate,Swarm,Prankster,,,,Beginner,M
#314,Illumise,Bug,,4,2,4,2,5,2,5,2,5,2,5,Oblivious,Tinted Lens,Prankster,,,,Beginner,F
#315,Roselia,Grass,Poison,4,2,4,2,4,2,4,3,6,2,5,Natural Cure,Poison Point,Leaf Guard,,Yes,,Beginner,
#316,Gulpin,Poison,,3,1,3,1,3,2,4,1,3,2,4,Liquid Ooze,Sticky Hold,Gluttony,,Yes,,Starter,
#317,Swalot,Poison,,5,2,5,2,4,2,5,2,5,2,5,Liquid Ooze,Sticky Hold,Gluttony,,,,Amateur,
#318,Carvanha,Water,Dark,3,2,5,2,4,1,3,2,4,1,3,Rough Skin,,Speed Boost,,Yes,,Beginner,
#319,Sharpedo,Water,Dark,4,3,7,3,6,1,3,3,6,1,3,Rough Skin,,Speed Boost,,,Yes,Ace,
#319,Mega-Sharpedo,Water,Dark,5,4,8,3,6,2,5,3,6,2,4,Strong Jaw,,,,,,Pro,
#320,Wailmer,Water,,5,2,5,2,4,1,3,2,5,1,3,Water Veil,Oblivious,Pressure,,Yes,,Amateur,
#321,Wailord,Water,,11,2,5,2,4,2,4,2,5,2,4,Water Veil,Oblivious,Pressure,,,,Ace,
#322,Numel,Fire,Ground,3,2,4,1,3,1,3,2,4,2,4,Oblivious,Simple,Own Tempo,,Yes,,Beginner,
#323,Camerupt,Fire,Ground,4,3,6,1,3,2,5,3,6,2,5,Magma Armor,Solid Rock,Anger Point,,,Yes,Amateur,
#323,Mega-Camerupt,Fire,Ground,5,3,7,1,2,3,6,4,8,3,6,Sheer Force,,,,,,Ace,
#324,Torkoal,Fire,,4,2,5,1,3,3,7,2,5,2,5,White Smoke,Drought,Shell Armor,,,,Amateur,
#325,Spoink,Psychic,,3,1,3,2,4,1,3,2,5,2,5,Thick Fat,Own Tempo,Gluttony,,Yes,,Starter,
#326,Grumpig,Psychic,,4,2,4,2,5,2,4,2,5,3,6,Thick Fat,Own Tempo,Gluttony,,,,Amateur,
#327,Spinda,Normal,,4,2,4,2,4,2,4,2,4,2,4,Own Tempo,Tangled Feet,Contrary,,,,Beginner,
#328,Trapinch,Ground,,3,3,6,1,2,2,4,2,4,2,4,Hyper Cutter,Arena Trap,Sheer Force,,Yes,,Beginner,
#329,Vibrava,Ground,Dragon,4,3,6,2,4,2,4,2,4,2,4,Levitate,,,,Yes,,Amateur,
#330,Flygon,Ground,Dragon,5,3,6,3,6,2,5,2,5,2,5,Levitate,,,,,Yes,Ace,
#331,Cacnea,Grass,,3,2,5,1,3,1,3,2,5,1,3,Sand Veil,,Water Absorb,,Yes,,Beginner,
#332,Cacturne,Grass,Dark,4,3,6,2,4,2,4,3,6,2,4,Sand Veil,,Water Absorb,,,Yes,Amateur,
#333,Swablu,Normal,Flying,3,1,3,2,4,2,4,1,3,2,5,Natural Cure,,Cloud Nine,,Yes,,Beginner,
#334,Altaria,Dragon,Flying,4,2,5,2,5,2,5,2,5,3,6,Natural Cure,,Cloud Nine,,,Yes,Ace,
#334,Mega-Altaria,Dragon,Fairy,5,3,6,2,5,3,6,3,6,3,6,Pixilate,,,,,,Pro,
#335,Zangoose,Normal,,4,3,6,2,5,2,4,2,4,2,4,Immunity,,Toxic Boost,,,,Amateur,
#336,Seviper,Poison,,4,3,6,2,4,2,4,3,6,2,4,Shed Skin,,Infiltrator,,,,Amateur,
#337,Lunatone,Rock,Psychic,4,2,4,2,5,2,4,3,6,2,5,Levitate,,Noctem,,,,Amateur,N
#338,Solrock,Rock,Psychic,4,3,6,2,5,2,5,2,4,2,4,Levitate,,,,,,Amateur,N
#339,Barboach,Water,Ground,3,2,4,2,4,1,3,2,4,1,3,Oblivious,Anticipation,Hydration,,Yes,,Starter,
#340,Whiscash,Water,Ground,5,2,5,2,4,2,5,2,5,2,5,Oblivious,Anticipation,Hydration,,,,Amateur,
#341,Corphish,Water,,3,2,5,1,3,2,4,2,4,1,3,Hyper Cutter,Shell Armor,Adaptability,,Yes,,Beginner,
#342,Crawdaunt,Water,Dark,4,3,7,2,4,2,5,2,5,2,4,Hyper Cutter,Shell Armor,Adaptability,,,Yes,Amateur,
#343,Baltoy,Ground,Psychic,3,1,3,2,4,2,4,1,3,2,5,Levitate,,,,Yes,,Beginner,N
#344,Claydol,Ground,Psychic,4,2,5,2,5,3,6,2,5,3,6,Levitate,,,,,,Ace,N
#345,Lileep,Rock,Grass,3,1,3,1,3,2,5,2,4,2,5,Suction Cups,,Storm Drain,,Yes,,Beginner,
#346,Cradily,Rock,Grass,4,2,5,1,3,3,6,2,5,3,6,Suction Cups,,Storm Drain,,,,Amateur,
#347,Anorith,Rock,Bug,3,3,6,2,5,2,4,1,3,2,4,Battle Armor,,Swift Swim,,Yes,,Beginner,
#348,Armaldo,Rock,Bug,4,3,7,2,4,3,6,2,5,2,5,Battle Armor,,Swift Swim,,,,Ace,
#349,Feebas,Water,,3,1,2,2,5,1,3,1,2,2,4,Swift Swim,Oblivious,Adaptibility,,Yes,,Starter,
#350,Milotic,Water,,7,2,4,2,5,2,5,3,6,3,6,Marvel Scale,Competitive,Cute Charm,,,Yes,Ace,
#351,Castform,Normal,,4,2,5,2,5,2,5,2,5,2,5,Forcast,,,,,Yes,Amateur,
#352,Kecleon,Normal,,4,2,5,1,3,2,5,2,4,3,7,Color Change,,Protean,,,,Amateur,
#353,Shuppet,Ghost,,3,2,5,2,4,1,3,2,4,1,3,Insomnia,Frisk,Cursed Body,,Yes,,Beginner,
#354,Banette,Ghost,,4,3,6,2,4,2,4,2,5,2,5,Insomnia,Frisk,Cursed Body,,,Yes,Amateur,
#354,Mega-Banette,Ghost,,5,4,8,2,5,2,5,3,6,2,5,Prankster,,,,,,Ace,
#355,Duskull,Ghost,,3,1,3,1,3,2,5,1,3,2,5,Levitate,,Frisk,,Yes,,Beginner,
#356,Dusclops,Ghost,,4,2,5,1,3,3,7,2,4,3,7,Levitate,,Frisk,,Yes,,Amateur,
#357,Tropius,Grass,Flying,5,2,4,2,4,2,5,2,5,2,5,Chlorophyll,Solar Power,Harvest,,,,Amateur,
#358,Chimecho,Psychic,,4,2,4,2,4,2,5,3,6,2,5,Levitate,,,,,,Amateur,
#359,Absol,Dark,,4,3,7,2,5,2,4,2,5,2,4,Pressure,Super Luck,Justified,,,Yes,Amateur,
#359,Mega-Absol,Dark,,5,4,8,3,6,2,4,3,6,2,4,Magic Bounce,,,,,,Ace,
#360,Wynaut,Psychic,,3,1,3,1,3,2,4,1,3,2,4,Shadow Tag,,Telepathy,,Yes,,Starter,
#361,Snorunt,Ice,,3,2,4,2,4,2,4,2,4,2,4,Inner Focus,Ice Body,Moody,,Yes,,Beginner,
#362,Glalie,Ice,,4,2,5,2,5,2,5,2,5,2,5,Inner Focus,Ice Body,Moody,,,,Amateur,
#362,Mega-Glalie,Ice,,5,3,7,3,6,2,5,3,7,2,5,Refrigerate,,Moody,,,,Ace,
#363,Spheal,Ice,Water,3,1,3,1,3,2,4,2,4,2,4,Thick Fat,Ice Body,Oblivious,,Yes,,Starter,
#364,Sealeo,Ice,Water,4,2,4,2,4,2,5,2,5,2,5,Thick Fat,Ice Body,Oblivious,,Yes,,Amateur,
#365,Walrein,Ice,Water,6,2,5,2,4,3,6,3,6,2,5,Thick Fat,Ice Body,Oblivious,,,,Ace,
